atr_min,atr_max,hold_days,n,win_rate,mean_ret,median_ret,p25_ret,p75_ret,mean_mae,mean_mfe
0.0,0.03,5,4463,0.5677795205019045,0.004822381033004133,0.005489249018147957,-0.017508447420532203,0.02775829485672099,-0.028955486687198138,0.030385581022302953
0.0,0.03,10,4458,0.5668461193360251,0.005837817484237272,0.008206009660330138,-0.02497706140979672,0.03969947774331989,-0.040850949282241596,0.04410780393591384
0.0,0.03,20,4446,0.5742240215924427,0.009434933671113121,0.011529631997522216,-0.031974164687126216,0.057838116629563285,-0.05795228584564714,0.06309774796247053
0.0,0.04,5,5657,0.5761004065759237,0.005917298998639798,0.006362062549549297,-0.017795483327341266,0.030234653100240427,-0.03055968053027407,0.03319178822828418
0.0,0.04,10,5651,0.579189523978057,0.008146571217403191,0.010228070411685497,-0.025446968429423178,0.04427196032301173,-0.04280421151839978,0.04828551646764152
0.0,0.04,20,5639,0.5818407519063664,0.013615380718709654,0.014217590515595901,-0.03238381814984981,0.06385586370760443,-0.0602842118772666,0.07029835668117453
0.0,0.05,5,6053,0.575086733850983,0.0060321283308138966,0.00637822237033725,-0.018612842126260687,0.031164245424167403,-0.03181737783678545,0.034605347620899216
0.0,0.05,10,6046,0.581872312272577,0.00918803772976812,0.010737060862391679,-0.02583991463970095,0.04588492185157855,-0.04441265817853518,0.05068768932791497
0.0,0.05,20,6034,0.583360954590653,0.015328346931222848,0.014999339647285836,-0.032510034287094036,0.06560970928548909,-0.0621098335546852,0.07352626207161962
0.0,0.07,5,6301,0.5737184573877162,0.006200992659914424,0.00637822237033725,-0.019174573348138102,0.031548250043802684,-0.0329805257356248,0.03600646524252456
0.0,0.07,10,6291,0.5803528850739151,0.00946015542458576,0.01066133732308372,-0.02658601496525531,0.04647214133516819,-0.04614135408672984,0.05259629895591209
0.0,0.07,20,6279,0.5817805383022774,0.015385206019918416,0.01478314217134602,-0.03372721440134796,0.06655877157051715,-0.0643177860521179,0.0762548560050079
0.0,0.1,5,6343,0.574018603184613,0.006312666570625148,0.00642038238192133,-0.019181907732270298,0.03179722420715425,-0.033329391177636954,0.03648422876628445
0.0,0.1,10,6333,0.5809253118585189,0.009655309460016796,0.010898224227209985,-0.026636285178332608,0.04680736331405311,-0.046570632863353965,0.053197444263079235
0.0,0.1,20,6320,0.582753164556962,0.015740011375576506,0.015230899727261327,-0.033702539756007344,0.06682643719441256,-0.0649117899782551,0.07709125979134032
0.01,0.03,5,4463,0.5677795205019045,0.004822381033004133,0.005489249018147957,-0.017508447420532203,0.02775829485672099,-0.028955486687198138,0.030385581022302953
0.01,0.03,10,4458,0.5668461193360251,0.005837817484237272,0.008206009660330138,-0.02497706140979672,0.03969947774331989,-0.040850949282241596,0.04410780393591384
0.01,0.03,20,4446,0.5742240215924427,0.009434933671113121,0.011529631997522216,-0.031974164687126216,0.057838116629563285,-0.05795228584564714,0.06309774796247053
0.01,0.04,5,5657,0.5761004065759237,0.005917298998639798,0.006362062549549297,-0.017795483327341266,0.030234653100240427,-0.03055968053027407,0.03319178822828418
0.01,0.04,10,5651,0.579189523978057,0.008146571217403191,0.010228070411685497,-0.025446968429423178,0.04427196032301173,-0.04280421151839978,0.04828551646764152
0.01,0.04,20,5639,0.5818407519063664,0.013615380718709654,0.014217590515595901,-0.03238381814984981,0.06385586370760443,-0.0602842118772666,0.07029835668117453
0.01,0.05,5,6053,0.575086733850983,0.0060321283308138966,0.00637822237033725,-0.018612842126260687,0.031164245424167403,-0.03181737783678545,0.034605347620899216
0.01,0.05,10,6046,0.581872312272577,0.00918803772976812,0.010737060862391679,-0.02583991463970095,0.04588492185157855,-0.04441265817853518,0.05068768932791497
0.01,0.05,20,6034,0.583360954590653,0.015328346931222848,0.014999339647285836,-0.032510034287094036,0.06560970928548909,-0.0621098335546852,0.07352626207161962
0.01,0.07,5,6301,0.5737184573877162,0.006200992659914424,0.00637822237033725,-0.019174573348138102,0.031548250043802684,-0.0329805257356248,0.03600646524252456
0.01,0.07,10,6291,0.5803528850739151,0.00946015542458576,0.01066133732308372,-0.02658601496525531,0.04647214133516819,-0.04614135408672984,0.05259629895591209
0.01,0.07,20,6279,0.5817805383022774,0.015385206019918416,0.01478314217134602,-0.03372721440134796,0.06655877157051715,-0.0643177860521179,0.0762548560050079
0.01,0.1,5,6343,0.574018603184613,0.006312666570625148,0.00642038238192133,-0.019181907732270298,0.03179722420715425,-0.033329391177636954,0.03648422876628445
0.01,0.1,10,6333,0.5809253118585189,0.009655309460016796,0.010898224227209985,-0.026636285178332608,0.04680736331405311,-0.046570632863353965,0.053197444263079235
0.01,0.1,20,6320,0.582753164556962,0.015740011375576506,0.015230899727261327,-0.033702539756007344,0.06682643719441256,-0.0649117899782551,0.07709125979134032
0.015,0.03,5,4322,0.5659416936603424,0.004879500524281434,0.005537503320515835,-0.01774316185981098,0.0283804296973591,-0.029348158568086907,0.030810700089304605
0.015,0.03,10,4317,0.566828816307621,0.005945359733056001,0.008383166944615938,-0.025550908496075553,0.040689878111905387,-0.04143668457488015,0.0447484220961098
0.015,0.03,20,4306,0.5745471435206688,0.009573053038811386,0.01223985561324148,-0.032528173135129596,0.059109279435189455,-0.05880872631876026,0.0639246994982696
0.015,0.04,5,5516,0.5748730964467005,0.005990042630702004,0.006385071180555979,-0.018135650202977527,0.03087288171505176,-0.03090836058848201,0.03359661778296593
0.015,0.04,10,5510,0.5794918330308529,0.008289909541273763,0.010488945726840893,-0.025967716210977987,0.0451276462041279,-0.04331310974591684,0.04889433789496267
0.015,0.04,20,5499,0.5822876886706674,0.013829966022214335,0.015086967112010186,-0.032785936505726476,0.06471554067748486,-0.061014217754999246,0.07112922384498056
0.015,0.05,5,5912,0.5739174560216509,0.006102738075450512,0.006424225867624256,-0.019033343312817863,0.031759031307102725,-0.032172698290319456,0.03501677382150531
0.015,0.05,10,5905,0.5822184589331075,0.009346656009661482,0.01108159224670735,-0.026411241913187666,0.04661924378105575,-0.04492592155071098,0.051313144440165284
0.015,0.05,20,5894,0.5838140481845945,0.015569239339387779,0.015547607146767506,-0.03291447352341079,0.06648557740085059,-0.06283428034065236,0.0743781190937492
0.015,0.07,5,6160,0.5725649350649351,0.006272624913273977,0.006424225867624256,-0.01950463523614765,0.03205415429831221,-0.03334816508222048,0.03643339856762722
0.015,0.07,10,6150,0.5806504065040651,0.009618693560803578,0.011037767201383164,-0.027147408448211896,0.047216026374712006,-0.04667380389742146,0.05324059593077155
0.015,0.07,20,6139,0.5821795080632025,0.015617781378468908,0.015422085191219903,-0.03434211450292379,0.06740084081446307,-0.0650636734452,0.07713494208402828
0.015,0.1,5,6202,0.572879716220574,0.006386352591603068,0.006554120146357145,-0.01952147048838615,0.03227275199970181,-0.03370247218414343,0.03691913265849383
0.015,0.1,10,6192,0.5812338501291989,0.009817216155225995,0.01114788023562241,-0.027195722331921718,0.04755358564425827,-0.047109246339332236,0.05385105987737125
0.015,0.1,20,6180,0.5831715210355987,0.015979081420225957,0.015778086003181313,-0.03432252122950613,0.06774391225618254,-0.06566618532708848,0.07798445477017406
0.02,0.03,5,3262,0.564990803188228,0.005288951458403133,0.006072871548260417,-0.01938687155821614,0.031019941580494315,-0.031028534011089796,0.03280518883122898
0.02,0.03,10,3257,0.5680073687442432,0.006043750767743685,0.009267095318123308,-0.028494640063214005,0.043294096758021317,-0.044029282325042045,0.04735191413956664
0.02,0.03,20,3246,0.5813308687615527,0.010548672279274291,0.014272437411870564,-0.03352560759446002,0.06281056547029518,-0.06216412433287112,0.06752408840609869
0.02,0.04,5,4456,0.5763016157989228,0.0065539572581505634,0.007158040865311688,-0.019480705396748593,0.033302464150858135,-0.03250961705991248,0.035719394944419766
0.02,0.04,10,4450,0.5833707865168539,0.008920399967495924,0.011537182193756435,-0.028542645476237194,0.04768189083758534,-0.045657626948967654,0.051787426508967845
0.02,0.04,20,4439,0.5890966433881505,0.015559902453155926,0.017225785168235364,-0.03351820475586886,0.06861946002352814,-0.06399449323961677,0.07548164831047435
0.02,0.05,5,4852,0.5750206100577082,0.006645248535331841,0.007225077754524856,-0.02024625044701492,0.03408667815916949,-0.033919482461927435,0.03727655544398883
0.02,0.05,10,4845,0.5863777089783282,0.010156941593393082,0.012081658771521786,-0.028761260780095665,0.05005628105888338,-0.047432151079432924,0.054499559150224676
0.02,0.05,20,4834,0.5904013239553165,0.017539205730193234,0.0178872683740815,-0.03365329970689859,0.07041684469979503,-0.06597013247491167,0.07908731254969079
0.02,0.07,5,5100,0.5733333333333334,0.006824064285712619,0.007225077754524856,-0.02073754578773579,0.034390626526168755,-0.03525432029791793,0.038877728501583934
0.02,0.07,10,5090,0.5842829076620825,0.010446629407049202,0.012016952174717765,-0.02961337379716089,0.050646997658875925,-0.04942339866248454,0.05667503165774216
0.02,0.07,20,5079,0.5881078952549714,0.01750285168651765,0.017441863688731463,-0.03543090161735485,0.07145282031023326,-0.06851353875487316,0.08219233006113352
0.02,0.1,5,5142,0.573706728899261,0.006956732237356844,0.007386399295679635,-0.020744102437716072,0.034605407244730324,-0.03566609667424364,0.03944362911891737
0.02,0.1,10,5132,0.5849571317225253,0.010679380498070497,0.012113215016224088,-0.029636567654326512,0.050809038275318075,-0.04992627797272984,0.05738347796655209
0.02,0.1,20,5120,0.5892578125,0.01792385683796854,0.018048511745174856,-0.03539124824917855,0.07190591145529884,-0.06921316355025875,0.08317721980592252
